Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Warren Instigator,Duel Decks: Merfolk vs. Goblins,RR,Creature  - Goblin Berserker,Red,Mythic Rare,438472,,,,cardshark,
1,1,0,Battle Squadron,Duel Decks: Merfolk vs. Goblins,3RR,Creature  - Goblin,Red,Uncommon,438473,,,,cardshark,
2,2,0,Boggart Brute,Duel Decks: Merfolk vs. Goblins,2R,Creature  - Goblin Warrior,Red,Common,438474,,,,cardshark,
2,2,0,Brute Strength,Duel Decks: Merfolk vs. Goblins,1R,Instant,Red,Common,438475,,,,cardshark,
1,1,0,Cleaver Riot,Duel Decks: Merfolk vs. Goblins,4R,Sorcery,Red,Uncommon,438476,,,,cardshark,
1,1,0,Ember Hauler,Duel Decks: Merfolk vs. Goblins,RR,Creature  - Goblin,Red,Uncommon,438477,,,,cardshark,
2,2,0,Foundry Street Denizen,Duel Decks: Merfolk vs. Goblins,R,Creature  - Goblin Warrior,Red,Common,438478,,,,cardshark,
1,1,0,Gempalm Incinerator,Duel Decks: Merfolk vs. Goblins,2R,Creature  - Goblin,Red,Uncommon,438479,,,,cardshark,
3,3,0,Ghostfire,Duel Decks: Merfolk vs. Goblins,2R,Instant,Red,Common,438480,,,,cardshark,
1,1,0,Goblin Chieftain,Duel Decks: Merfolk vs. Goblins,1RR,Creature  - Goblin,Red,Rare,438481,,,,cardshark,
1,1,0,Goblin Diplomats,Duel Decks: Merfolk vs. Goblins,1R,Creature  - Goblin,Red,Rare,438482,,,,cardshark,
1,1,0,Goblin Glory Chaser,Duel Decks: Merfolk vs. Goblins,R,Creature  - Goblin Warrior,Red,Uncommon,438483,,,,cardshark,
1,1,0,Goblin Goon,Duel Decks: Merfolk vs. Goblins,3R,Creature  - Goblin Mutant,Red,Rare,438484,,,,cardshark,
1,1,0,Goblin Grenade,Duel Decks: Merfolk vs. Goblins,R,Sorcery,Red,Uncommon,438485,,,,cardshark,
1,1,0,Goblin Rabblemaster,Duel Decks: Merfolk vs. Goblins,2R,Creature  - Goblin Warrior,Red,Rare,438486,,,,cardshark,
1,1,0,Goblin Razerunners,Duel Decks: Merfolk vs. Goblins,2RR,Creature  - Goblin Warrior,Red,Rare,438487,,,,cardshark,
2,2,0,Goblin Ringleader,Duel Decks: Merfolk vs. Goblins,3R,Creature  - Goblin,Red,Uncommon,438488,,,,cardshark,
1,1,0,Goblin Tunneler,Duel Decks: Merfolk vs. Goblins,1R,Creature  - Goblin Rogue,Red,Common,438489,,,,cardshark,
2,2,0,Goblin Wardriver,Duel Decks: Merfolk vs. Goblins,RR,Creature  - Goblin Warrior,Red,Uncommon,438490,,,,cardshark,
1,1,0,Hordeling Outburst,Duel Decks: Merfolk vs. Goblins,1RR,Sorcery,Red,Uncommon,438491,,,,cardshark,
1,1,0,"Krenko, Mob Boss",Duel Decks: Merfolk vs. Goblins,2RR,Legendary Creature  - Goblin Warrior,Red,Rare,438492,,,,cardshark,
3,3,0,Krenko's Command,Duel Decks: Merfolk vs. Goblins,1R,Sorcery,Red,Common,438493,,,,cardshark,
1,1,0,Relentless Assault,Duel Decks: Merfolk vs. Goblins,2RR,Sorcery,Red,Rare,438494,,,,cardshark,
2,2,0,Tarfire,Duel Decks: Merfolk vs. Goblins,R,Tribal Instant  - Goblin,Red,Common,438495,,,,cardshark,
1,1,0,Brittle Effigy,Duel Decks: Merfolk vs. Goblins,1,Artifact,Artifact,Rare,438496,,,,cardshark,
1,1,0,Goblin Charbelcher,Duel Decks: Merfolk vs. Goblins,4,Artifact,Artifact,Rare,438497,,,,cardshark,
2,2,0,Blighted Gorge,Duel Decks: Merfolk vs. Goblins,,Land,Land,Uncommon,438498,,,,cardshark,
2,2,0,Forgotten Cave,Duel Decks: Merfolk vs. Goblins,,Land,Land,Common,438499,,,,cardshark,
