Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Explorer's Scope,Duel Decks: Zendikar vs. Eldrazi,1,Artifact  - Equipment,Artifact,Common,401670,,,,cardshark,
1,1,0,Stonework Puma,Duel Decks: Zendikar vs. Eldrazi,3,Artifact Creature  - Cat Ally,Artifact,Common,401672,,,,cardshark,
1,1,0,Pilgrim's Eye,Battle for Zendikar,3,Artifact Creature  - Thopter,Artifact,Uncommon,401984,,,,cardshark,
1,1,0,Explosive Apparatus,Shadows over Innistrad,1,Artifact,Artifact,Common,410020,,,,cardshark,
1,1,0,Harvest Hand,Shadows over Innistrad,3,Artifact Creature  - Scarecrow,Artifact,Uncommon,410021,,,,cardshark,
1,1,0,Haunted Cloak,Shadows over Innistrad,3,Artifact  - Equipment,Artifact,Uncommon,410023,,,,cardshark,
1,1,0,Magnifying Glass,Shadows over Innistrad,3,Artifact,Artifact,Uncommon,410024,,,,cardshark,
2,2,0,Neglected Heirloom,Shadows over Innistrad,1,Artifact  - Equipment,Artifact,Uncommon,410026,,,,cardshark,
1,1,0,Runaway Carriage,Shadows over Innistrad,4,Artifact Creature  - Construct,Artifact,Uncommon,410028,,,,cardshark,
3,3,0,Shard of Broken Glass,Shadows over Innistrad,1,Artifact  - Equipment,Artifact,Common,410029,,,,cardshark,
2,2,0,Skeleton Key,Shadows over Innistrad,1,Artifact  - Equipment,Artifact,Uncommon,410030,,,,cardshark,
1,1,0,Thraben Gargoyle,Shadows over Innistrad,1,Artifact Creature  - Gargoyle,Artifact,Uncommon,410033,,,,cardshark,
2,2,0,True-Faith Censer,Shadows over Innistrad,2,Artifact  - Equipment,Artifact,Common,410035,,,,cardshark,
2,2,0,Wicker Witch,Shadows over Innistrad,3,Artifact Creature  - Scarecrow,Artifact,Common,410036,,,,cardshark,
1,1,0,Wild-Field Scarecrow,Shadows over Innistrad,3,Artifact Creature  - Scarecrow,Artifact,Uncommon,410037,,,,cardshark,
2,2,0,Filigree Familiar,Duel Decks: Elves vs. Inventors,3,Artifact Creature  - Fox,Artifact,Uncommon,442789,,,,cardshark,
2,2,0,Ichor Wellspring,Duel Decks: Elves vs. Inventors,2,Artifact,Artifact,Common,442790,,,,cardshark,
1,1,0,Inventor's Goggles,Duel Decks: Elves vs. Inventors,1,Artifact  - Equipment,Artifact,Common,442791,,,,cardshark,
2,2,0,Mycosynth Wellspring,Duel Decks: Elves vs. Inventors,2,Artifact,Artifact,Common,442792,,,,cardshark,
1,1,0,Myr Sire,Duel Decks: Elves vs. Inventors,2,Artifact Creature  - Myr,Artifact,Common,442794,,,,cardshark,
1,1,0,Neurok Replica,Duel Decks: Elves vs. Inventors,3,Artifact Creature  - Wizard,Artifact,Common,442795,,,,cardshark,
1,1,0,Pyrite Spellbomb,Duel Decks: Elves vs. Inventors,1,Artifact,Artifact,Common,442796,,,,cardshark,
1,1,0,Voyager Staff,Duel Decks: Elves vs. Inventors,1,Artifact,Artifact,Uncommon,442800,,,,cardshark,
