Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Bloodrite Invoker,Duel Decks: Zendikar vs. Eldrazi,2B,Creature  - Vampire Shaman,Black,Common,401687,,,,cardshark,
1,1,0,Bloodthrone Vampire,Duel Decks: Zendikar vs. Eldrazi,1B,Creature  - Vampire,Black,Common,401688,,,,cardshark,
1,1,0,Altar's Reap,Battle for Zendikar,1B,Instant,Black,Common,401809,,,,cardshark,
1,1,0,Complete Disregard,Battle for Zendikar,2B,Instant,Black,Common,401846,,,,cardshark,
3,3,0,Culling Drone,Battle for Zendikar,1B,Creature  - Eldrazi Drone,Black,Common,401852,,,,cardshark,
1,1,0,Dutiful Return,Battle for Zendikar,3B,Sorcery,Black,Common,401865,,,,cardshark,
1,1,0,Geyserfield Stalker,Battle for Zendikar,4B,Creature  - Elemental,Black,Common,401894,,,,cardshark,
1,1,0,Grip of Desolation,Battle for Zendikar,4BB,Instant,Black,Uncommon,401902,,,,cardshark,
2,2,0,Mind Raker,Battle for Zendikar,3B,Creature  - Eldrazi Processor,Black,Common,401948,,,,cardshark,
1,1,0,Silent Skimmer,Battle for Zendikar,3B,Creature  - Eldrazi Drone,Black,Common,402035,,,,cardshark,
2,2,0,Sludge Crawler,Battle for Zendikar,B,Creature  - Eldrazi Drone,Black,Common,402041,,,,cardshark,
2,2,0,Swarm Surge,Battle for Zendikar,2B,Sorcery,Black,Common,402063,,,,cardshark,
2,2,0,Transgress the Mind,Battle for Zendikar,1B,Sorcery,Black,Uncommon,402075,,,,cardshark,
1,1,0,Accursed Witch,Shadows over Innistrad,3B,Creature  - Human Shaman,Black,Uncommon,409843,,,,cardshark,
3,3,0,Alms of the Vein,Shadows over Innistrad,2B,Sorcery,Black,Common,409845,,,,cardshark,
2,2,0,Behind the Scenes,Shadows over Innistrad,2B,Enchantment,Black,Uncommon,409847,,,,cardshark,
1,1,0,Biting Rain,Shadows over Innistrad,2BB,Sorcery,Black,Uncommon,409849,,,,cardshark,
1,1,0,Creeping Dread,Shadows over Innistrad,3B,Enchantment,Black,Uncommon,409851,,,,cardshark,
3,3,0,Crow of Dark Tidings,Shadows over Innistrad,2B,Creature  - Zombie Bird,Black,Common,409852,,,,cardshark,
3,3,0,Dead Weight,Shadows over Innistrad,B,Enchantment  - Aura,Black,Common,409853,,,,cardshark,
3,3,0,Farbog Revenant,Shadows over Innistrad,2B,Creature  - Spirit,Black,Common,409858,,,,cardshark,
3,3,0,Ghoulcaller's Accomplice,Shadows over Innistrad,1B,Creature  - Human Rogue,Black,Common,409860,,,,cardshark,
1,1,0,Gisa's Bidding,Shadows over Innistrad,2BB,Sorcery,Black,Uncommon,409862,,,,cardshark,
3,3,0,Grotesque Mutation,Shadows over Innistrad,1B,Instant,Black,Common,409863,,,,cardshark,
1,1,0,Hound of the Farbogs,Shadows over Innistrad,4B,Creature  - Zombie Hound,Black,Common,409866,,,,cardshark,
1,1,0,Indulgent Aristocrat,Shadows over Innistrad,B,Creature  - Vampire,Black,Uncommon,409867,,,,cardshark,
1,1,0,Kindly Stranger,Shadows over Innistrad,2B,Creature  - Human,Black,Uncommon,409868,,,,cardshark,
2,2,0,Merciless Resolve,Shadows over Innistrad,2B,Instant,Black,Common,409873,,,,cardshark,
1,1,0,Morkrut Necropod,Shadows over Innistrad,5B,Creature  - Slug Horror,Black,Uncommon,409875,,,,cardshark,
3,3,0,Murderous Compulsion,Shadows over Innistrad,1B,Sorcery,Black,Common,409876,,,,cardshark,
1,1,0,Olivia's Bloodsworn,Shadows over Innistrad,1B,Creature  - Vampire Soldier,Black,Uncommon,409877,,,,cardshark,
1,1,0,Pale Rider of Trostad,Shadows over Innistrad,1B,Creature  - Spirit,Black,Uncommon,409878,,,,cardshark,
1,1,0,Pick the Brain,Shadows over Innistrad,2B,Sorcery,Black,Uncommon,409879,,,,cardshark,
1,1,0,Rancid Rats,Shadows over Innistrad,1B,Creature  - Zombie Rat,Black,Common,409880,,,,cardshark,
1,1,0,Rottenheart Ghoul,Shadows over Innistrad,3B,Creature  - Zombie,Black,Common,409882,,,,cardshark,
4,4,0,Sanitarium Skeleton,Shadows over Innistrad,B,Creature  - Skeleton,Black,Common,409883,,,,cardshark,
2,2,0,Shamble Back,Shadows over Innistrad,B,Sorcery,Black,Common,409884,,,,cardshark,
1,1,0,Sinister Concoction,Shadows over Innistrad,B,Enchantment,Black,Uncommon,409885,,,,cardshark,
3,3,0,Stallion of Ashmouth,Shadows over Innistrad,3B,Creature  - Nightmare Horse,Black,Common,409886,,,,cardshark,
1,1,0,Stromkirk Mentor,Shadows over Innistrad,3B,Creature  - Vampire Soldier,Black,Common,409887,,,,cardshark,
1,1,0,Throttle,Shadows over Innistrad,4B,Instant,Black,Common,409888,,,,cardshark,
2,2,0,Tooth Collector,Shadows over Innistrad,2B,Creature  - Human Rogue,Black,Uncommon,409890,,,,cardshark,
1,1,0,Twins of Maurer Estate,Shadows over Innistrad,4B,Creature  - Vampire,Black,Common,409892,,,,cardshark,
3,3,0,Vampire Noble,Shadows over Innistrad,2B,Creature  - Vampire,Black,Common,409893,,,,cardshark,
2,2,0,Vessel of Malignity,Shadows over Innistrad,1B,Enchantment,Black,Common,409894,,,,cardshark,
