Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
2,2,0,Brilliant Spectrum,Battle for Zendikar,3U,Sorcery,Blue,Common,401830,,,,cardshark,
1,1,0,Cloud Manta,Battle for Zendikar,3U,Creature  - Fish,Blue,Common,401843,,,,cardshark,
1,1,0,Coastal Discovery,Battle for Zendikar,3U,Sorcery,Blue,Uncommon,401845,,,,cardshark,
1,1,0,Oracle of Dust,Battle for Zendikar,4U,Creature  - Eldrazi Processor,Blue,Common,401977,,,,cardshark,
2,2,0,Aberrant Researcher,Shadows over Innistrad,3U,Creature  - Human Insect,Blue,Uncommon,409790,,,,cardshark,
2,2,0,Broken Concentration,Shadows over Innistrad,1UU,Instant,Blue,Uncommon,409792,,,,cardshark,
1,1,0,Catalog,Shadows over Innistrad,2U,Instant,Blue,Common,409793,,,,cardshark,
1,1,0,Compelling Deterrence,Shadows over Innistrad,1U,Instant,Blue,Uncommon,409794,,,,cardshark,
4,4,0,Drownyard Explorers,Shadows over Innistrad,3U,Creature  - Human Wizard,Blue,Common,409799,,,,cardshark,
1,1,0,Drunau Corpse Trawler,Shadows over Innistrad,3U,Creature  - Zombie,Blue,Uncommon,409800,,,,cardshark,
2,2,0,Erdwal Illuminator,Shadows over Innistrad,1U,Creature  - Spirit,Blue,Uncommon,409803,,,,cardshark,
2,2,0,Furtive Homunculus,Shadows over Innistrad,1U,Creature  - Homunculus,Blue,Common,409807,,,,cardshark,
2,2,0,Ghostly Wings,Shadows over Innistrad,1U,Enchantment  - Aura,Blue,Common,409809,,,,cardshark,
3,3,0,Gone Missing,Shadows over Innistrad,4U,Sorcery,Blue,Common,409810,,,,cardshark,
2,2,0,Invasive Surgery,Shadows over Innistrad,U,Instant,Blue,Uncommon,409811,,,,cardshark,
3,3,0,Jace's Scrutiny,Shadows over Innistrad,1U,Instant,Blue,Common,409813,,,,cardshark,
2,2,0,Just the Wind,Shadows over Innistrad,1U,Instant,Blue,Common,409814,,,,cardshark,
1,1,0,Lamplighter of Selhoff,Shadows over Innistrad,4U,Creature  - Zombie Horror,Blue,Common,409815,,,,cardshark,
1,1,0,Manic Scribe,Shadows over Innistrad,1U,Creature  - Human Wizard,Blue,Uncommon,409816,,,,cardshark,
1,1,0,Nagging Thoughts,Shadows over Innistrad,1U,Sorcery,Blue,Common,409817,,,,cardshark,
2,2,0,Pieces of the Puzzle,Shadows over Innistrad,2U,Sorcery,Blue,Common,409821,,,,cardshark,
1,1,0,Pore Over the Pages,Shadows over Innistrad,3UU,Sorcery,Blue,Uncommon,409822,,,,cardshark,
2,2,0,Press for Answers,Shadows over Innistrad,1U,Sorcery,Blue,Common,409823,,,,cardshark,
1,1,0,Reckless Scholar,Shadows over Innistrad,2U,Creature  - Human Wizard,Blue,Uncommon,409825,,,,cardshark,
4,4,0,Seagraf Skaab,Shadows over Innistrad,1U,Creature  - Zombie,Blue,Common,409827,,,,cardshark,
3,3,0,Silburlind Snapper,Shadows over Innistrad,5U,Creature  - Turtle,Blue,Common,409828,,,,cardshark,
1,1,0,Silent Observer,Shadows over Innistrad,3U,Creature  - Spirit,Blue,Common,409829,,,,cardshark,
2,2,0,Stitched Mangler,Shadows over Innistrad,2U,Creature  - Zombie Horror,Blue,Common,409833,,,,cardshark,
2,2,0,Stitchwing Skaab,Shadows over Innistrad,3U,Creature  - Zombie Horror,Blue,Uncommon,409834,,,,cardshark,
3,3,0,Stormrider Spirit,Shadows over Innistrad,4U,Creature  - Spirit,Blue,Common,409835,,,,cardshark,
1,1,0,Trail of Evidence,Shadows over Innistrad,2U,Enchantment,Blue,Uncommon,409838,,,,cardshark,
1,1,0,Uninvited Geist,Shadows over Innistrad,2U,Creature  - Spirit,Blue,Uncommon,409839,,,,cardshark,
3,3,0,Vessel of Paramnesia,Shadows over Innistrad,1U,Enchantment,Blue,Common,409841,,,,cardshark,
1,1,0,Artificer's Epiphany,Duel Decks: Elves vs. Inventors,2U,Instant,Blue,Common,442772,,,,cardshark,
1,1,0,Riddlesmith,Duel Decks: Elves vs. Inventors,1U,Creature  - Human Artificer,Blue,Uncommon,442775,,,,cardshark,
1,1,0,Treasure Mage,Duel Decks: Elves vs. Inventors,2U,Creature  - Human Wizard,Blue,Uncommon,442776,,,,cardshark,
1,1,0,Trinket Mage,Duel Decks: Elves vs. Inventors,2U,Creature  - Human Wizard,Blue,Common,442777,,,,cardshark,
1,1,0,Trophy Mage,Duel Decks: Elves vs. Inventors,2U,Creature  - Human Wizard,Blue,Uncommon,442778,,,,cardshark,
1,1,0,Whirler Rogue,Duel Decks: Elves vs. Inventors,2UU,Creature  - Human Rogue Artificer,Blue,Uncommon,442779,,,,cardshark,
