Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Daring Sleuth,Shadows over Innistrad,1U,Creature  - Human Rogue,Blue,Uncommon,409796,,,,cardshark,
2,2,0,Deny Existence,Shadows over Innistrad,2U,Instant,Blue,Common,409798,,,,cardshark,
4,4,0,Niblis of Dusk,Shadows over Innistrad,2U,Creature  - Spirit,Blue,Common,409819,,,,cardshark,
1,1,0,Ongoing Investigation,Shadows over Innistrad,1U,Enchantment,Blue,Uncommon,409820,,,,cardshark,
1,1,0,Rise from the Tides,Shadows over Innistrad,5U,Sorcery,Blue,Uncommon,409826,,,,cardshark,
2,2,0,Stitched Mangler,Shadows over Innistrad,2U,Creature  - Zombie Horror,Blue,Common,409833,,,,cardshark,
1,1,0,Gisa's Bidding,Shadows over Innistrad,2BB,Sorcery,Black,Uncommon,409862,,,,cardshark,
1,1,0,Heir to the Night,Shadows over Innistrad,,Creature  - Vampire Berserker,Artifact,Uncommon,409865,,,,cardshark,
1,1,0,Morkrut Necropod,Shadows over Innistrad,5B,Creature  - Slug Horror,Black,Uncommon,409875,,,,cardshark,
1,1,0,Olivia's Bloodsworn,Shadows over Innistrad,1B,Creature  - Vampire Soldier,Black,Uncommon,409877,,,,cardshark,
2,2,0,Rancid Rats,Shadows over Innistrad,1B,Creature  - Zombie Rat,Black,Common,409880,,,,cardshark,
1,1,0,Shamble Back,Shadows over Innistrad,B,Sorcery,Black,Common,409884,,,,cardshark,
1,1,0,Bloodmad Vampire,Shadows over Innistrad,2R,Creature  - Vampire Berserker,Red,Common,409896,,,,cardshark,
1,1,0,Breakneck Rider,Shadows over Innistrad,1RR,Creature  - Human Scout Werewolf,Red,Uncommon,409897,,,,cardshark,
1,1,0,Dual Shot,Shadows over Innistrad,R,Instant,Red,Common,409905,,,,cardshark,
1,1,0,Ember-Eye Wolf,Shadows over Innistrad,1R,Creature  - Wolf,Red,Common,409906,,,,cardshark,
1,1,0,Gibbering Fiend,Shadows over Innistrad,1R,Creature  - Devil,Red,Uncommon,409915,,,,cardshark,
1,1,0,Insolent Neonate,Shadows over Innistrad,R,Creature  - Vampire,Red,Common,409922,,,,cardshark,
1,1,0,Kessig Forgemaster,Shadows over Innistrad,1R,Creature  - Human Shaman Werewolf,Red,Uncommon,409923,,,,cardshark,
2,2,0,Lightning Axe,Shadows over Innistrad,R,Instant,Red,Uncommon,409925,,,,cardshark,
1,1,0,Mad Prophet,Shadows over Innistrad,3R,Creature  - Human Shaman,Red,Uncommon,409926,,,,cardshark,
1,1,0,Senseless Rage,Shadows over Innistrad,1R,Enchantment  - Aura,Red,Common,409935,,,,cardshark,
1,1,0,Stensia Masquerade,Shadows over Innistrad,2R,Enchantment,Red,Uncommon,409940,,,,cardshark,
1,1,0,Voldaren Duelist,Shadows over Innistrad,3R,Creature  - Vampire Warrior,Red,Common,409948,,,,cardshark,
1,1,0,Ancient of the Equinox,Shadows over Innistrad,,Creature  - Treefolk,Artifact,Uncommon,409952,,,,cardshark,
1,1,0,Byway Courier,Shadows over Innistrad,2G,Creature  - Human Scout,Green,Common,409954,,,,cardshark,
3,3,0,Confront the Unknown,Shadows over Innistrad,G,Instant,Green,Common,409956,,,,cardshark,
1,1,0,Crawling Sensation,Shadows over Innistrad,2G,Enchantment,Green,Uncommon,409957,,,,cardshark,
1,1,0,Second Harvest,Shadows over Innistrad,2GG,Instant,Green,Rare,409990,,,,cardshark,
1,1,0,Ulvenwald Mysteries,Shadows over Innistrad,2G,Enchantment,Green,Uncommon,410000,,,,cardshark,
1,1,0,Weirding Wood,Shadows over Innistrad,2G,Enchantment  - Aura,Green,Uncommon,410004,,,,cardshark,
2,2,0,Brain in a Jar,Shadows over Innistrad,2,Artifact,Artifact,Rare,410017,,,,cardshark,
1,1,0,Haunted Cloak,Shadows over Innistrad,3,Artifact  - Equipment,Artifact,Uncommon,410023,,,,cardshark,
1,1,0,Murderer's Axe,Shadows over Innistrad,4,Artifact  - Equipment,Artifact,Uncommon,410025,,,,cardshark,
1,1,0,Wild-Field Scarecrow,Shadows over Innistrad,3,Artifact Creature  - Scarecrow,Artifact,Uncommon,410037,,,,cardshark,
1,1,0,Warped Landscape,Shadows over Innistrad,,Land,Land,Common,410048,,,,cardshark,
1,1,0,Swamp,Shadows over Innistrad,,Basic Land  - Swamp,BasicLand,Basic Land,410058,,,,cardshark,
