Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Alabaster Kirin,Khans of Tarkir,3W,Creature  - Kirin,White,Common,386473,,,,cardshark,
1,1,0,Arc Lightning,Khans of Tarkir,2R,Sorcery,Red,Uncommon,386478,,,,cardshark,
1,1,0,Barrage of Boulders,Khans of Tarkir,2R,Sorcery,Red,Common,386485,,,,cardshark,
2,2,0,Debilitating Injury,Khans of Tarkir,1B,Enchantment  - Aura,Black,Common,386514,,,,cardshark,
1,1,0,Disdainful Stroke,Khans of Tarkir,1U,Instant,Blue,Common,386519,,,,cardshark,
1,1,0,Dragon Grip,Khans of Tarkir,2R,Enchantment  - Aura,Red,Uncommon,386522,,,,cardshark,
1,1,0,Dragonscale Boon,Khans of Tarkir,3G,Instant,Green,Common,386525,,,,cardshark,
1,1,0,Erase,Khans of Tarkir,W,Instant,White,Common,386533,,,,cardshark,
1,1,0,Feat of Resistance,Khans of Tarkir,1W,Instant,White,Common,386534,,,,cardshark,
1,1,0,Heir of the Wilds,Khans of Tarkir,1G,Creature  - Human Warrior,Green,Uncommon,386552,,,,cardshark,
1,1,0,Jeskai Student,Khans of Tarkir,1W,Creature  - Human Monk,White,Common,386575,,,,cardshark,
1,1,0,Kheru Bloodsucker,Khans of Tarkir,2B,Creature  - Vampire,Black,Uncommon,386578,,,,cardshark,
1,1,0,Kin-Tree Invocation,Khans of Tarkir,BG,Sorcery,Gold,Uncommon,386583,,,,cardshark,
1,1,0,Naturalize,Khans of Tarkir,1G,Instant,Green,Common,386617,,,,cardshark,
1,1,0,Rotting Mastodon,Khans of Tarkir,4B,Creature  - Zombie Elephant,Black,Common,386640,,,,cardshark,
1,1,0,Savage Punch,Khans of Tarkir,1G,Sorcery,Green,Common,386652,,,,cardshark,
1,1,0,Singing Bell Strike,Khans of Tarkir,1U,Enchantment  - Aura,Blue,Common,386668,,,,cardshark,
1,1,0,Sultai Flayer,Khans of Tarkir,3G,Creature  - Naga Shaman,Green,Uncommon,386677,,,,cardshark,
1,1,0,Suspension Field,Khans of Tarkir,1W,Enchantment,White,Uncommon,386682,,,,cardshark,
1,1,0,Trumpet Blast,Khans of Tarkir,2R,Instant,Red,Common,386706,,,,cardshark,
1,1,0,Weave Fate,Khans of Tarkir,3U,Instant,Blue,Common,386720,,,,cardshark,
1,1,0,Ainok Guide,Fate Reforged,1G,Creature  - Hound Scout,Green,Common,391786,,,,cardshark,
1,1,0,Ambush Krotiq,Fate Reforged,5G,Creature  - Insect,Green,Common,391789,,,,cardshark,
1,1,0,Ancestral Vengeance,Fate Reforged,BB,Enchantment  - Aura,Black,Common,391790,,,,cardshark,
1,1,0,Aven Skirmisher,Fate Reforged,W,Creature  - Bird Warrior,White,Common,391797,,,,cardshark,
1,1,0,Aven Surveyor,Fate Reforged,3UU,Creature  - Bird Scout,Blue,Common,391798,,,,cardshark,
1,1,0,Bathe in Dragonfire,Fate Reforged,2R,Sorcery,Red,Common,391799,,,,cardshark,
1,1,0,Friendly Fire,Fate Reforged,3R,Instant,Red,Uncommon,391838,,,,cardshark,
1,1,0,Frontier Mastodon,Fate Reforged,2G,Creature  - Elephant,Green,Common,391839,,,,cardshark,
1,1,0,Frost Walker,Fate Reforged,1U,Creature  - Elemental,Blue,Uncommon,391841,,,,cardshark,
1,1,0,Gore Swine,Fate Reforged,2R,Creature  - Boar,Red,Common,391846,,,,cardshark,
2,2,0,Grim Contest,Fate Reforged,1BG,Instant,Gold,Common,391849,,,,cardshark,
1,1,0,Hooded Assassin,Fate Reforged,2B,Creature  - Human Assassin,Black,Common,391855,,,,cardshark,
1,1,0,Jeskai Sage,Fate Reforged,1U,Creature  - Human Monk,Blue,Common,391864,,,,cardshark,
1,1,0,Lotus-Eye Mystics,Fate Reforged,3W,Creature  - Human Monk,White,Uncommon,391870,,,,cardshark,
1,1,0,Mardu Runemark,Fate Reforged,2R,Enchantment  - Aura,Red,Common,391873,,,,cardshark,
1,1,0,Mardu Scout,Fate Reforged,RR,Creature  - Goblin Scout,Red,Common,391874,,,,cardshark,
1,1,0,Mistfire Adept,Fate Reforged,3U,Creature  - Human Monk,Blue,Uncommon,391881,,,,cardshark,
1,1,0,Pyrotechnics,Fate Reforged,4R,Sorcery,Red,Uncommon,391897,,,,cardshark,
1,1,0,Reach of Shadows,Fate Reforged,4B,Instant,Black,Common,391902,,,,cardshark,
1,1,0,Sage's Reverie,Fate Reforged,3W,Enchantment  - Aura,White,Uncommon,391910,,,,cardshark,
1,1,0,Sandblast,Fate Reforged,2W,Instant,White,Common,391912,,,,cardshark,
1,1,0,Soulflayer,Fate Reforged,4BB,Creature  - Demon,Black,Rare,391928,,,,cardshark,
1,1,0,Sultai Runemark,Fate Reforged,2B,Enchantment  - Aura,Black,Common,391931,,,,cardshark,
1,1,0,Sultai Skullkeeper,Fate Reforged,1U,Creature  - Naga Shaman,Blue,Common,391932,,,,cardshark,
1,1,0,Typhoid Rats,Fate Reforged,B,Creature  - Rat,Black,Common,391947,,,,cardshark,
3,3,0,Whisperer of the Wilds,Fate Reforged,1G,Creature  - Human Shaman,Green,Common,391957,,,,cardshark,
1,1,0,Wild Slash,Fate Reforged,R,Instant,Red,Uncommon,391959,,,,cardshark,
1,1,0,Write into Being,Fate Reforged,2U,Sorcery,Blue,Common,391964,,,,cardshark,
1,1,0,Anticipate,Dragons of Tarkir,1U,Instant,Blue,Common,394493,,,,cardshark,
2,2,0,Artful Maneuver,Dragons of Tarkir,1W,Instant,White,Common,394496,,,,cardshark,
1,1,0,Atarka Pummeler,Dragons of Tarkir,4R,Creature  - Ogre Warrior,Red,Uncommon,394501,,,,cardshark,
1,1,0,Battle Mastery,Dragons of Tarkir,2W,Enchantment  - Aura,White,Uncommon,394506,,,,cardshark,
1,1,0,Circle of Elders,Dragons of Tarkir,2GG,Creature  - Human Shaman,Green,Uncommon,394516,,,,cardshark,
1,1,0,Coat with Venom,Dragons of Tarkir,B,Instant,Black,Common,394518,,,,cardshark,
