Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Armament of Nyx,Journey into Nyx,2W,Enchantment  - Aura,White,Common,380371,,,,cardshark,
1,1,0,Cruel Feeding,Journey into Nyx,B,Instant,Black,Common,380389,,,,cardshark,
1,1,0,Crystalline Nautilus,Journey into Nyx,2U,Enchantment Creature  - Nautilus,Blue,Uncommon,380390,,,,cardshark,
1,1,0,Dictate of Karametra,Journey into Nyx,3GG,Enchantment,Green,Rare,380401,,,,cardshark,
1,1,0,Font of Fertility,Journey into Nyx,G,Enchantment,Green,Common,380417,,,,cardshark,
1,1,0,Godhunter Octopus,Journey into Nyx,5U,Creature  - Octopus,Blue,Common,380425,,,,cardshark,
1,1,0,Mogis's Warhound,Journey into Nyx,1R,Enchantment Creature  - Hound,Red,Uncommon,380456,,,,cardshark,
1,1,0,Pensive Minotaur,Journey into Nyx,2R,Creature  - Minotaur Warrior,Red,Common,380467,,,,cardshark,
1,1,0,Pheres-Band Thunderhoof,Journey into Nyx,4G,Creature  - Centaur Warrior,Green,Common,380471,,,,cardshark,
1,1,0,Rise of Eagles,Journey into Nyx,4UU,Sorcery,Blue,Common,380486,,,,cardshark,
1,1,0,Rotted Hulk,Journey into Nyx,3B,Creature  - Elemental,Black,Common,380489,,,,cardshark,
1,1,0,Rouse the Mob,Journey into Nyx,R,Instant,Red,Common,380490,,,,cardshark,
1,1,0,Stonewise Fortifier,Journey into Nyx,1W,Creature  - Human Wizard,White,Common,380509,,,,cardshark,
1,1,0,Underworld Coinsmith,Journey into Nyx,WB,Enchantment Creature  - Human Cleric,Gold,Uncommon,380524,,,,cardshark,
1,1,0,Prickleboar,Magic Origins,4R,Creature  - Boar,Red,Common,398449,,,,cardshark,
1,1,0,Faerie Miscreant,Magic Origins,U,Creature  - Faerie Rogue,Blue,Common,398459,,,,cardshark,
1,1,0,Artificer's Epiphany,Magic Origins,2U,Instant,Blue,Common,398462,,,,cardshark,
1,1,0,Ringwarden Owl,Magic Origins,3UU,Creature  - Bird,Blue,Common,398464,,,,cardshark,
1,1,0,Nivix Barrier,Magic Origins,3U,Creature  - Illusion Wall,Blue,Common,398465,,,,cardshark,
1,1,0,Celestial Flare,Magic Origins,WW,Instant,White,Common,398488,,,,cardshark,
1,1,0,Sword of the Animist,Magic Origins,2,Legendary Artifact  - Equipment,Artifact,Rare,398492,,,,cardshark,
1,1,0,Deadbridge Shaman,Magic Origins,2B,Creature  - Elf Shaman,Black,Common,398500,,,,cardshark,
1,1,0,Rogue's Passage,Magic Origins,,Land,Land,Uncommon,398523,,,,cardshark,
1,1,0,Blood-Cursed Knight,Magic Origins,1WB,Creature  - Vampire Knight,Gold,Uncommon,398527,,,,cardshark,
1,1,0,Elvish Visionary,Magic Origins,1G,Creature  - Elf Shaman,Green,Common,398554,,,,cardshark,
1,1,0,Act of Treason,Magic Origins,2R,Sorcery,Red,Common,398578,,,,cardshark,
