Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Oblivion Sower,Duel Decks: Zendikar vs. Eldrazi,6,Creature  - Eldrazi,Artifact,Mythic Rare,401683,,,,cardshark,
1,1,0,Artisan of Kozilek,Duel Decks: Zendikar vs. Eldrazi,9,Creature  - Eldrazi,Artifact,Uncommon,401684,,,,cardshark,
1,1,0,It That Betrays,Duel Decks: Zendikar vs. Eldrazi,12,Creature  - Eldrazi,Artifact,Rare,401685,,,,cardshark,
1,1,0,Ulamog's Crusher,Duel Decks: Zendikar vs. Eldrazi,8,Creature  - Eldrazi,Artifact,Common,401686,,,,cardshark,
1,1,0,Butcher of Malakir,Duel Decks: Zendikar vs. Eldrazi,5BB,Creature  - Vampire Warrior,Black,Rare,401689,,,,cardshark,
1,1,0,Cadaver Imp,Duel Decks: Zendikar vs. Eldrazi,1BB,Creature  - Imp,Black,Common,401690,,,,cardshark,
1,1,0,Consume the Meek,Duel Decks: Zendikar vs. Eldrazi,3BB,Instant,Black,Rare,401691,,,,cardshark,
1,1,0,Corpsehatch,Duel Decks: Zendikar vs. Eldrazi,3BB,Sorcery,Black,Uncommon,401692,,,,cardshark,
4,4,0,Dominator Drone,Duel Decks: Zendikar vs. Eldrazi,2B,Creature  - Eldrazi Drone,Black,Common,401693,,,,cardshark,
2,2,0,Heartstabber Mosquito,Duel Decks: Zendikar vs. Eldrazi,3B,Creature  - Insect,Black,Common,401694,,,,cardshark,
1,1,0,Induce Despair,Duel Decks: Zendikar vs. Eldrazi,2B,Instant,Black,Common,401695,,,,cardshark,
1,1,0,Marsh Casualties,Duel Decks: Zendikar vs. Eldrazi,BB,Sorcery,Black,Uncommon,401696,,,,cardshark,
1,1,0,Pawn of Ulamog,Duel Decks: Zendikar vs. Eldrazi,1BB,Creature  - Vampire Shaman,Black,Uncommon,401697,,,,cardshark,
2,2,0,Read the Bones,Duel Decks: Zendikar vs. Eldrazi,2B,Sorcery,Black,Common,401698,,,,cardshark,
1,1,0,Smother,Duel Decks: Zendikar vs. Eldrazi,1B,Instant,Black,Uncommon,401699,,,,cardshark,
1,1,0,Vampire Nighthawk,Duel Decks: Zendikar vs. Eldrazi,1BB,Creature  - Vampire Shaman,Black,Uncommon,401700,,,,cardshark,
3,3,0,Emrakul's Hatcher,Duel Decks: Zendikar vs. Eldrazi,4R,Creature  - Eldrazi Drone,Red,Common,401701,,,,cardshark,
2,2,0,Forked Bolt,Duel Decks: Zendikar vs. Eldrazi,R,Sorcery,Red,Common,401702,,,,cardshark,
1,1,0,Hellion Eruption,Duel Decks: Zendikar vs. Eldrazi,5R,Sorcery,Red,Rare,401703,,,,cardshark,
2,2,0,Forerunner of Slaughter,Duel Decks: Zendikar vs. Eldrazi,BR,Creature  - Eldrazi Drone,Gold,Uncommon,401706,,,,cardshark,
2,2,0,Mind Stone,Duel Decks: Zendikar vs. Eldrazi,2,Artifact,Artifact,Uncommon,401707,,,,cardshark,
2,2,0,Runed Servitor,Duel Decks: Zendikar vs. Eldrazi,2,Artifact Creature  - Construct,Artifact,Uncommon,401708,,,,cardshark,
1,1,0,Nettle Drone,Battle for Zendikar,2R,Creature  - Eldrazi Drone,Red,Common,401967,,,,cardshark,
