Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Beastbreaker of Bala Ged,Duel Decks: Zendikar vs. Eldrazi,1G,Creature  - Human Warrior,Green,Uncommon,401652,,,,cardshark,
1,1,0,Daggerback Basilisk,Duel Decks: Zendikar vs. Eldrazi,2G,Creature  - Basilisk,Green,Common,401653,,,,cardshark,
1,1,0,Frontier Guide,Duel Decks: Zendikar vs. Eldrazi,1G,Creature  - Elf Scout,Green,Uncommon,401654,,,,cardshark,
2,2,0,Graypelt Hunter,Duel Decks: Zendikar vs. Eldrazi,3G,Creature  - Human Warrior Ally,Green,Common,401655,,,,cardshark,
1,1,0,Grazing Gladehart,Duel Decks: Zendikar vs. Eldrazi,2G,Creature  - Antelope,Green,Common,401656,,,,cardshark,
1,1,0,Groundswell,Duel Decks: Zendikar vs. Eldrazi,G,Instant,Green,Common,401657,,,,cardshark,
1,1,0,Harrow,Duel Decks: Zendikar vs. Eldrazi,2G,Instant,Green,Common,401658,,,,cardshark,
1,1,0,Joraga Bard,Duel Decks: Zendikar vs. Eldrazi,3G,Creature  - Elf Rogue Ally,Green,Common,401659,,,,cardshark,
1,1,0,Khalni Heart Expedition,Duel Decks: Zendikar vs. Eldrazi,1G,Enchantment,Green,Common,401660,,,,cardshark,
1,1,0,Ondu Giant,Duel Decks: Zendikar vs. Eldrazi,3G,Creature  - Giant Druid,Green,Common,401661,,,,cardshark,
1,1,0,Retreat to Kazandu,Duel Decks: Zendikar vs. Eldrazi,2G,Enchantment,Green,Uncommon,401663,,,,cardshark,
1,1,0,Tajuru Archer,Duel Decks: Zendikar vs. Eldrazi,2G,Creature  - Elf Archer Ally,Green,Uncommon,401665,,,,cardshark,
2,2,0,Territorial Baloth,Duel Decks: Zendikar vs. Eldrazi,4G,Creature  - Beast,Green,Common,401666,,,,cardshark,
1,1,0,Turntimber Basilisk,Duel Decks: Zendikar vs. Eldrazi,1GG,Creature  - Basilisk,Green,Uncommon,401667,,,,cardshark,
1,1,0,Wildheart Invoker,Duel Decks: Zendikar vs. Eldrazi,2GG,Creature  - Elf Shaman,Green,Common,401668,,,,cardshark,
1,1,0,Infuse with the Elements,Battle for Zendikar,3G,Instant,Green,Uncommon,401916,,,,cardshark,
1,1,0,Murasa Ranger,Battle for Zendikar,3G,Creature  - Human Warrior,Green,Uncommon,401964,,,,cardshark,
1,1,0,Reclaiming Vines,Battle for Zendikar,2GG,Sorcery,Green,Common,402004,,,,cardshark,
1,1,0,Tajuru Stalwart,Battle for Zendikar,2G,Creature  - Elf Scout Ally,Green,Common,402067,,,,cardshark,
1,1,0,Unnatural Aggression,Battle for Zendikar,2G,Instant,Green,Common,402085,,,,cardshark,
2,1,1,Aim High,Shadows over Innistrad,1G,Instant,Green,Common,409950,,,,cardshark,
1,0,1,Briarbridge Patrol,Shadows over Innistrad,3G,Creature  - Human Warrior,Green,Uncommon,409953,,,,cardshark,
2,0,2,Byway Courier,Shadows over Innistrad,2G,Creature  - Human Scout,Green,Common,409954,,,,cardshark,
1,1,0,Confront the Unknown,Shadows over Innistrad,G,Instant,Green,Common,409956,,,,cardshark,
1,0,1,Crawling Sensation,Shadows over Innistrad,2G,Enchantment,Green,Uncommon,409957,,,,cardshark,
1,0,1,Cult of the Waxing Moon,Shadows over Innistrad,4G,Creature  - Human Shaman,Green,Uncommon,409959,,,,cardshark,
1,0,1,Duskwatch Recruiter,Shadows over Innistrad,1G,Creature  - Human Warrior Werewolf,Green,Uncommon,409961,,,,cardshark,
2,1,1,Equestrian Skill,Shadows over Innistrad,3G,Enchantment  - Aura,Green,Common,409963,,,,cardshark,
2,2,0,Fork in the Road,Shadows over Innistrad,1G,Sorcery,Green,Common,409964,,,,cardshark,
2,1,1,Graf Mole,Shadows over Innistrad,2G,Creature  - Mole Beast,Green,Uncommon,409966,,,,cardshark,
1,0,1,Groundskeeper,Shadows over Innistrad,G,Creature  - Human Druid,Green,Uncommon,409967,,,,cardshark,
2,0,2,Hermit of the Natterknolls,Shadows over Innistrad,2G,Creature  - Human Werewolf,Green,Uncommon,409968,,,,cardshark,
3,2,1,Hinterland Logger,Shadows over Innistrad,1G,Creature  - Human Werewolf,Green,Common,409970,,,,cardshark,
1,1,0,Howlpack Resurgence,Shadows over Innistrad,2G,Enchantment,Green,Uncommon,409972,,,,cardshark,
2,0,2,Intrepid Provisioner,Shadows over Innistrad,3G,Creature  - Human Scout,Green,Common,409974,,,,cardshark,
2,1,1,Kessig Dire Swine,Shadows over Innistrad,4GG,Creature  - Boar Horror,Green,Common,409975,,,,cardshark,
1,1,0,Lambholt Pacifist,Shadows over Innistrad,1G,Creature  - Human Shaman Werewolf,Green,Uncommon,409976,,,,cardshark,
3,3,0,Loam Dryad,Shadows over Innistrad,G,Creature  - Dryad Horror,Green,Common,409978,,,,cardshark,
2,2,0,Might Beyond Reason,Shadows over Innistrad,3G,Instant,Green,Common,409979,,,,cardshark,
3,3,0,Moldgraf Scavenger,Shadows over Innistrad,1G,Creature  - Fungus,Green,Common,409980,,,,cardshark,
