Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Master of Waves,Duel Decks: Merfolk vs. Goblins,3U,Creature  - Merfolk Wizard,Blue,Mythic Rare,438441,,,,cardshark,
4,4,0,Aquitect's Will,Duel Decks: Merfolk vs. Goblins,U,Tribal Sorcery  - Merfolk,Blue,Common,438442,,,,cardshark,
2,2,0,Claustrophobia,Duel Decks: Merfolk vs. Goblins,1UU,Enchantment  - Aura,Blue,Common,438443,,,,cardshark,
1,1,0,Concentrate,Duel Decks: Merfolk vs. Goblins,2UU,Sorcery,Blue,Uncommon,438444,,,,cardshark,
1,1,0,Engulf the Shore,Duel Decks: Merfolk vs. Goblins,3U,Instant,Blue,Rare,438445,,,,cardshark,
2,2,0,Essence Scatter,Duel Decks: Merfolk vs. Goblins,1U,Instant,Blue,Common,438446,,,,cardshark,
1,1,0,Harbinger of the Tides,Duel Decks: Merfolk vs. Goblins,UU,Creature  - Merfolk Wizard,Blue,Rare,438447,,,,cardshark,
1,1,0,Inkfathom Divers,Duel Decks: Merfolk vs. Goblins,3UU,Creature  - Merfolk Soldier,Blue,Common,438448,,,,cardshark,
1,1,0,Master of the Pearl Trident,Duel Decks: Merfolk vs. Goblins,UU,Creature  - Merfolk,Blue,Rare,438449,,,,cardshark,
1,1,0,Merfolk Looter,Duel Decks: Merfolk vs. Goblins,1U,Creature  - Merfolk Rogue,Blue,Uncommon,438450,,,,cardshark,
1,1,0,Merfolk Sovereign,Duel Decks: Merfolk vs. Goblins,1UU,Creature  - Merfolk,Blue,Rare,438451,,,,cardshark,
1,1,0,Merfolk Wayfinder,Duel Decks: Merfolk vs. Goblins,2U,Creature  - Merfolk Scout,Blue,Uncommon,438452,,,,cardshark,
1,1,0,Merrow Reejerey,Duel Decks: Merfolk vs. Goblins,2U,Creature  - Merfolk Soldier,Blue,Uncommon,438453,,,,cardshark,
1,1,0,Mind Spring,Duel Decks: Merfolk vs. Goblins,XUU,Sorcery,Blue,Rare,438454,,,,cardshark,
1,1,0,Misdirection,Duel Decks: Merfolk vs. Goblins,3UU,Instant,Blue,Rare,438455,,,,cardshark,
2,2,0,Rootwater Hunter,Duel Decks: Merfolk vs. Goblins,2U,Creature  - Merfolk,Blue,Uncommon,438456,,,,cardshark,
2,2,0,Scroll Thief,Duel Decks: Merfolk vs. Goblins,2U,Creature  - Merfolk Rogue,Blue,Common,438457,,,,cardshark,
3,3,0,Streambed Aquitects,Duel Decks: Merfolk vs. Goblins,1UU,Creature  - Merfolk Scout,Blue,Common,438458,,,,cardshark,
2,2,0,Tidal Courier,Duel Decks: Merfolk vs. Goblins,3U,Creature  - Merfolk,Blue,Uncommon,438459,,,,cardshark,
2,2,0,Tidal Warrior,Duel Decks: Merfolk vs. Goblins,U,Creature  - Merfolk Warrior,Blue,Common,438460,,,,cardshark,
1,1,0,Tidebinder Mage,Duel Decks: Merfolk vs. Goblins,UU,Creature  - Merfolk Wizard,Blue,Rare,438462,,,,cardshark,
1,1,0,Triton Tactics,Duel Decks: Merfolk vs. Goblins,U,Instant,Blue,Uncommon,438463,,,,cardshark,
1,1,0,Wake Thrasher,Duel Decks: Merfolk vs. Goblins,2U,Creature  - Merfolk Soldier,Blue,Rare,438464,,,,cardshark,
1,1,0,Cold-Eyed Selkie,Duel Decks: Merfolk vs. Goblins,1{U/G}{U/G},Creature  - Merfolk Rogue,Gold,Rare,438465,,,,cardshark,
1,1,0,Blighted Cataract,Duel Decks: Merfolk vs. Goblins,,Land,Land,Uncommon,438466,,,,cardshark,
2,2,0,Lonely Sandbar,Duel Decks: Merfolk vs. Goblins,,Land,Land,Common,438467,,,,cardshark,
