Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Avenger of Zendikar,Duel Decks: Zendikar vs. Eldrazi,5GG,Creature  - Elemental,Green,Mythic Rare,401643,,,,cardshark,
1,1,0,Primal Command,Duel Decks: Zendikar vs. Eldrazi,3GG,Sorcery,Green,Rare,401662,,,,cardshark,
1,1,0,Scute Mob,Duel Decks: Zendikar vs. Eldrazi,G,Creature  - Insect,Green,Rare,401664,,,,cardshark,
1,1,0,Veteran Warleader,Duel Decks: Zendikar vs. Eldrazi,1GW,Creature  - Human Soldier Ally,Gold,Rare,401669,,,,cardshark,
1,1,0,Seer's Sundial,Duel Decks: Zendikar vs. Eldrazi,4,Artifact,Artifact,Rare,401671,,,,cardshark,
1,1,0,Stirring Wildwood,Duel Decks: Zendikar vs. Eldrazi,,Land,Land,Rare,401675,,,,cardshark,
1,1,0,Magmaw,Duel Decks: Zendikar vs. Eldrazi,3RR,Creature  - Elemental,Red,Rare,401704,,,,cardshark,
1,1,0,Barrage Tyrant,Battle for Zendikar,4R,Creature  - Eldrazi,Red,Rare,401815,0.25,0.25,0.25,cardshark,
1,1,0,Planar Outburst,Battle for Zendikar,3WW,Sorcery,White,Rare,401995,,,,cardshark,
1,1,0,Sanctum of Ugin,Battle for Zendikar,,Land,Land,Rare,402022,,,,cardshark,
1,1,0,Serpentine Spike,Battle for Zendikar,5RR,Sorcery,Red,Rare,402029,,,,cardshark,
1,1,0,Thalia's Lieutenant,Shadows over Innistrad,1W,Creature  - Human Soldier,White,Rare,409783,,,,cardshark,
1,1,0,Confirm Suspicions,Shadows over Innistrad,3UU,Instant,Blue,Rare,409795,,,,cardshark,
1,1,0,Forgotten Creation,Shadows over Innistrad,3U,Creature  - Zombie Horror,Blue,Rare,409806,,,,cardshark,
1,1,0,Nephalia Moondrakes,Shadows over Innistrad,5UU,Creature  - Drake,Blue,Rare,409818,,,,cardshark,
1,1,0,Thing in the Ice,Shadows over Innistrad,1U,Creature  - Horror,Blue,Rare,409836,,,,cardshark,
1,1,0,Welcome to the Fold,Shadows over Innistrad,2UU,Sorcery,Blue,Rare,409842,,,,cardshark,
1,1,0,Asylum Visitor,Shadows over Innistrad,1B,Creature  - Vampire Wizard,Black,Rare,409846,,,,cardshark,
1,1,0,Behold the Beyond,Shadows over Innistrad,5BB,Sorcery,Black,Mythic Rare,409848,,,,cardshark,
1,1,0,Diregraf Colossus,Shadows over Innistrad,2B,Creature  - Zombie Giant,Black,Rare,409854,,,,cardshark,
1,1,0,Ever After,Shadows over Innistrad,4BB,Sorcery,Black,Rare,409857,,,,cardshark,
1,1,0,Avacyn's Judgment,Shadows over Innistrad,1R,Sorcery,Red,Rare,409895,,,,cardshark,
1,1,0,Burn from Within,Shadows over Innistrad,XR,Sorcery,Red,Rare,409899,,,,cardshark,
1,1,0,Falkenrath Gorger,Shadows over Innistrad,R,Creature  - Vampire Berserker,Red,Rare,409907,,,,cardshark,
1,1,0,Flameblade Angel,Shadows over Innistrad,4RR,Creature  - Angel,Red,Rare,409909,,,,cardshark,
1,1,0,Harness the Storm,Shadows over Innistrad,2R,Enchantment,Red,Rare,409917,,,,cardshark,
1,1,0,Sin Prodder,Shadows over Innistrad,2R,Creature  - Devil,Red,Rare,409936,,,,cardshark,
2,2,0,Sage of Ancient Lore,Shadows over Innistrad,4G,Creature  - Human Shaman Werewolf,Green,Rare,409987,,,,cardshark,
1,1,0,Second Harvest,Shadows over Innistrad,2GG,Instant,Green,Rare,409990,,,,cardshark,
1,1,0,Altered Ego,Shadows over Innistrad,X2GU,Creature  - Shapeshifter,Gold,Rare,410005,,,,cardshark,
1,1,0,Anguished Unmaking,Shadows over Innistrad,1WB,Instant,Gold,Rare,410006,,,,cardshark,
1,1,0,"Olivia, Mobilized for War",Shadows over Innistrad,1BR,Legendary Creature  - Vampire Knight,Gold,Mythic Rare,410013,,,,cardshark,
1,1,0,Slayer's Plate,Shadows over Innistrad,3,Artifact  - Equipment,Artifact,Rare,410031,,,,cardshark,
2,2,0,Tamiyo's Journal,Shadows over Innistrad,5,Legendary Artifact,Artifact,Rare,410032,,,,cardshark,
1,1,0,Fortified Village,Shadows over Innistrad,,Land,Land,Rare,410042,,,,cardshark,
1,1,0,Game Trail,Shadows over Innistrad,,Land,Land,Rare,410044,,,,cardshark,
1,1,0,Goblin Welder,Duel Decks: Elves vs. Inventors,R,Creature  - Goblin Artificer,Red,Mythic Rare,442771,,,,cardshark,
2,2,0,Pia and Kiran Nalaar,Duel Decks: Elves vs. Inventors,2RR,Legendary Creature  - Human Artificer,Red,Rare,442783,,,,cardshark,
1,1,0,Darksteel Plate,Duel Decks: Elves vs. Inventors,3,Artifact  - Equipment,Artifact,Rare,442788,,,,cardshark,
1,1,0,Myr Battlesphere,Duel Decks: Elves vs. Inventors,7,Artifact Creature  - Myr Construct,Artifact,Rare,442793,,,,cardshark,
1,1,0,Scuttling Doom Engine,Duel Decks: Elves vs. Inventors,6,Artifact Creature  - Construct,Artifact,Rare,442797,,,,cardshark,
1,1,0,Solemn Simulacrum,Duel Decks: Elves vs. Inventors,4,Artifact Creature  - Golem,Artifact,Rare,442798,,,,cardshark,
1,1,0,Thopter Assembly,Duel Decks: Elves vs. Inventors,6,Artifact Creature  - Thopter,Artifact,Rare,442799,,,,cardshark,
1,1,0,Shivan Reef,Duel Decks: Elves vs. Inventors,,Land,Land,Rare,442806,,,,cardshark,
1,1,0,Temple of Epiphany,Duel Decks: Elves vs. Inventors,,Land,Land,Rare,442808,,,,cardshark,
1,1,0,Serra's Guardian,Core Set 2019,4WW,Creature  - Angel,White,Rare,450231,,,,cardshark,
1,1,0,Aggressive Mammoth,Core Set 2019,3GGG,Creature  - Elephant,Green,Rare,450249,,,,cardshark,
