Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Torch Slinger,Duel Decks: Zendikar vs. Eldrazi,2R,Creature  - Goblin Shaman,Red,Common,401705,,,,cardshark,
1,1,0,Belligerent Whiptail,Battle for Zendikar,3R,Creature  - Wurm,Red,Common,401817,,,,cardshark,
2,2,0,Kozilek's Sentinel,Battle for Zendikar,1R,Creature  - Eldrazi Drone,Red,Common,401937,,,,cardshark,
2,2,0,Molten Nursery,Battle for Zendikar,2R,Enchantment,Red,Uncommon,401951,,,,cardshark,
2,2,0,Nettle Drone,Battle for Zendikar,2R,Creature  - Eldrazi Drone,Red,Common,401967,,,,cardshark,
2,2,0,Processor Assault,Battle for Zendikar,1R,Sorcery,Red,Uncommon,402000,,,,cardshark,
1,1,0,Reckless Cohort,Battle for Zendikar,1R,Creature  - Human Warrior Ally,Red,Common,402003,,,,cardshark,
1,1,0,Stonefury,Battle for Zendikar,3RR,Instant,Red,Common,402050,,,,cardshark,
2,2,0,Touch of the Void,Battle for Zendikar,2R,Sorcery,Red,Common,402074,,,,cardshark,
3,3,0,Vestige of Emrakul,Battle for Zendikar,3R,Creature  - Eldrazi Drone,Red,Common,402089,,,,cardshark,
2,2,0,Vile Aggregate,Battle for Zendikar,2R,Creature  - Eldrazi Drone,Red,Uncommon,402091,,,,cardshark,
1,1,0,Volcanic Upheaval,Battle for Zendikar,3R,Instant,Red,Common,402094,,,,cardshark,
3,3,0,Bloodmad Vampire,Shadows over Innistrad,2R,Creature  - Vampire Berserker,Red,Common,409896,,,,cardshark,
1,1,0,Dance with Devils,Shadows over Innistrad,3R,Instant,Red,Uncommon,409902,,,,cardshark,
2,2,0,Dissension in the Ranks,Shadows over Innistrad,3RR,Instant,Red,Uncommon,409904,,,,cardshark,
1,1,0,Dual Shot,Shadows over Innistrad,R,Instant,Red,Common,409905,,,,cardshark,
2,2,0,Ember-Eye Wolf,Shadows over Innistrad,1R,Creature  - Wolf,Red,Common,409906,,,,cardshark,
3,3,0,Fiery Temper,Shadows over Innistrad,1RR,Instant,Red,Common,409908,,,,cardshark,
2,2,0,Gatstaf Arsonists,Shadows over Innistrad,4R,Creature  - Human Werewolf,Red,Common,409910,,,,cardshark,
1,1,0,Geistblast,Shadows over Innistrad,2R,Instant,Red,Uncommon,409914,,,,cardshark,
1,1,0,Gibbering Fiend,Shadows over Innistrad,1R,Creature  - Devil,Red,Uncommon,409915,,,,cardshark,
2,2,0,Howlpack Wolf,Shadows over Innistrad,2R,Creature  - Wolf,Red,Common,409918,,,,cardshark,
3,3,0,Hulking Devil,Shadows over Innistrad,3R,Creature  - Devil,Red,Common,409919,,,,cardshark,
1,1,0,Inner Struggle,Shadows over Innistrad,3R,Instant,Red,Uncommon,409921,,,,cardshark,
2,2,0,Insolent Neonate,Shadows over Innistrad,R,Creature  - Vampire,Red,Common,409922,,,,cardshark,
1,1,0,Lightning Axe,Shadows over Innistrad,R,Instant,Red,Uncommon,409925,,,,cardshark,
1,1,0,Magmatic Chasm,Shadows over Innistrad,1R,Sorcery,Red,Common,409927,,,,cardshark,
1,1,0,Malevolent Whispers,Shadows over Innistrad,3R,Sorcery,Red,Uncommon,409928,,,,cardshark,
1,1,0,Pyre Hound,Shadows over Innistrad,3R,Creature  - Elemental Hound,Red,Common,409929,,,,cardshark,
1,1,0,Ravenous Bloodseeker,Shadows over Innistrad,1R,Creature  - Vampire Berserker,Red,Uncommon,409930,,,,cardshark,
1,1,0,Reduce to Ashes,Shadows over Innistrad,4R,Sorcery,Red,Common,409931,,,,cardshark,
