Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Affa Guard Hound,Duel Decks: Zendikar vs. Eldrazi,2W,Creature  - Hound,White,Uncommon,401644,,,,cardshark,
2,2,0,Caravan Escort,Duel Decks: Zendikar vs. Eldrazi,W,Creature  - Human Knight,White,Common,401645,,,,cardshark,
1,1,0,Kabira Vindicator,Duel Decks: Zendikar vs. Eldrazi,3W,Creature  - Human Knight,White,Uncommon,401646,,,,cardshark,
1,1,0,Knight of Cliffhaven,Duel Decks: Zendikar vs. Eldrazi,1W,Creature  - Kor Knight,White,Common,401647,,,,cardshark,
1,1,0,Makindi Griffin,Duel Decks: Zendikar vs. Eldrazi,3W,Creature  - Griffin,White,Common,401648,,,,cardshark,
1,1,0,Oust,Duel Decks: Zendikar vs. Eldrazi,W,Sorcery,White,Uncommon,401649,,,,cardshark,
1,1,0,Repel the Darkness,Duel Decks: Zendikar vs. Eldrazi,2W,Instant,White,Common,401650,,,,cardshark,
2,2,0,Sheer Drop,Duel Decks: Zendikar vs. Eldrazi,2W,Sorcery,White,Common,401651,,,,cardshark,
1,1,0,Fortified Rampart,Battle for Zendikar,1W,Creature  - Wall,White,Common,401892,,,,cardshark,
1,1,0,Kitesail Scout,Battle for Zendikar,W,Creature  - Kor Scout,White,Common,401932,,,,cardshark,
1,1,0,Retreat to Emeria,Battle for Zendikar,3W,Enchantment,White,Uncommon,402007,,,,cardshark,
1,1,0,Shadow Glider,Battle for Zendikar,2W,Creature  - Kor Soldier,White,Common,402030,,,,cardshark,
1,1,0,Stasis Snare,Battle for Zendikar,1WW,Enchantment,White,Uncommon,402048,,,,cardshark,
3,3,0,Angelic Purge,Shadows over Innistrad,2W,Sorcery,White,Common,409739,,,,cardshark,
3,3,0,Apothecary Geist,Shadows over Innistrad,3W,Creature  - Spirit,White,Common,409740,,,,cardshark,
1,1,0,Avacynian Missionaries,Shadows over Innistrad,3W,Creature  - Human Cleric,White,Uncommon,409743,,,,cardshark,
3,3,0,Cathar's Companion,Shadows over Innistrad,2W,Creature  - Hound,White,Common,409747,,,,cardshark,
4,4,0,Chaplain's Blessing,Shadows over Innistrad,W,Sorcery,White,Common,409748,,,,cardshark,
3,3,0,Dauntless Cathar,Shadows over Innistrad,2W,Creature  - Human Soldier,White,Common,409749,,,,cardshark,
2,2,0,Devilthorn Fox,Shadows over Innistrad,1W,Creature  - Fox,White,Common,409752,,,,cardshark,
1,1,0,Emissary of the Sleepless,Shadows over Innistrad,4W,Creature  - Spirit,White,Common,409755,,,,cardshark,
2,2,0,Ethereal Guidance,Shadows over Innistrad,2W,Sorcery,White,Common,409756,,,,cardshark,
3,3,0,Expose Evil,Shadows over Innistrad,1W,Instant,White,Common,409757,,,,cardshark,
2,2,0,Hope Against Hope,Shadows over Innistrad,2W,Enchantment  - Aura,White,Uncommon,409761,,,,cardshark,
1,1,0,Humble the Brute,Shadows over Innistrad,4W,Instant,White,Uncommon,409762,,,,cardshark,
2,2,0,Inquisitor's Ox,Shadows over Innistrad,3W,Creature  - Ox,White,Common,409763,,,,cardshark,
2,2,0,Inspiring Captain,Shadows over Innistrad,3W,Creature  - Human Knight,White,Common,409764,,,,cardshark,
1,1,0,Moorland Drifter,Shadows over Innistrad,1W,Creature  - Spirit,White,Common,409766,,,,cardshark,
2,2,0,Nearheath Chaplain,Shadows over Innistrad,3W,Creature  - Human Cleric,White,Uncommon,409768,,,,cardshark,
1,1,0,Open the Armory,Shadows over Innistrad,1W,Sorcery,White,Uncommon,409771,,,,cardshark,
1,1,0,Paranoid Parish-Blade,Shadows over Innistrad,2W,Creature  - Human Soldier,White,Uncommon,409772,,,,cardshark,
1,1,0,Pious Evangel,Shadows over Innistrad,2W,Creature  - Human Cleric,White,Uncommon,409773,,,,cardshark,
3,3,0,Puncturing Light,Shadows over Innistrad,1W,Instant,White,Common,409775,,,,cardshark,
1,1,0,Reaper of Flight Moonsilver,Shadows over Innistrad,3WW,Creature  - Angel,White,Uncommon,409776,,,,cardshark,
1,1,0,Spectral Shepherd,Shadows over Innistrad,2W,Creature  - Spirit,White,Uncommon,409778,,,,cardshark,
3,3,0,Stern Constable,Shadows over Innistrad,W,Creature  - Human Soldier,White,Common,409779,,,,cardshark,
3,3,0,Survive the Night,Shadows over Innistrad,2W,Instant,White,Common,409781,,,,cardshark,
1,1,0,Tenacity,Shadows over Innistrad,3W,Instant,White,Uncommon,409782,,,,cardshark,
1,1,0,Thraben Inspector,Shadows over Innistrad,W,Creature  - Human Soldier,White,Common,409784,,,,cardshark,
1,1,0,Topplegeist,Shadows over Innistrad,W,Creature  - Spirit,White,Uncommon,409785,,,,cardshark,
1,1,0,Town Gossipmonger,Shadows over Innistrad,W,Creature  - Human,White,Uncommon,409786,,,,cardshark,
1,1,0,Unruly Mob,Shadows over Innistrad,1W,Creature  - Human,White,Common,409788,,,,cardshark,
2,2,0,Vessel of Ephemera,Shadows over Innistrad,1W,Enchantment,White,Common,409789,,,,cardshark,
