Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Aberrant Researcher,Shadows over Innistrad,49,Near Mint,English,,,,,,,,
1,0,Accursed Witch,Shadows over Innistrad,97,Near Mint,English,,,,,,,,
1,0,Act of Treason,Magic Origins,129,Near Mint,English,,,,,,,,
1,0,Aegis Angel,Magic Origins,273,Near Mint,English,,,,,,,,
1,0,Affa Guard Hound,Duel Decks: Zendikar vs. Eldrazi,2,Near Mint,English,,,,,,,,
1,0,Aggressive Mammoth,Core Set 2019,302,Near Mint,English,,,,,,,,
1,0,Aim High,Shadows over Innistrad,193,Near Mint,English,foil,,,,,,,
2,0,Aim High,Shadows over Innistrad,193,Near Mint,English,,,,,,,,
1,0,Ainok Guide,Fate Reforged,121,Near Mint,English,,,,,,,,
1,0,Akroan Sergeant,Magic Origins,130,Near Mint,English,,,,,,,,
1,0,Alabaster Kirin,Khans of Tarkir,4,Near Mint,English,,,,,,,,
4,0,Alms of the Vein,Shadows over Innistrad,98,Near Mint,English,,,,,,,,
1,0,Altar's Reap,Battle for Zendikar,103,Near Mint,English,,,,,,,,
1,0,Altered Ego,Shadows over Innistrad,241,Near Mint,English,,,,,,,,
1,0,Ambush Krotiq,Fate Reforged,122,Near Mint,English,,,,,,,,
1,0,Ampryn Tactician,Magic Origins,2,Near Mint,English,,,,,,,,
1,0,Ancestral Vengeance,Fate Reforged,61,Near Mint,English,,,,,,,,
4,0,Angelic Purge,Shadows over Innistrad,3,Near Mint,English,,,,,,,,
1,0,Anguished Unmaking,Shadows over Innistrad,242,Near Mint,English,,,,,,,,
1,0,Anticipate,Dragons of Tarkir,45,Near Mint,English,,,,,,,,
3,0,Apothecary Geist,Shadows over Innistrad,4,Near Mint,English,,,,,,,,
4,0,Aquitect's Will,Duel Decks: Merfolk vs. Goblins,2,Near Mint,English,,,,,,,,
1,0,Arc Lightning,Khans of Tarkir,97,Near Mint,English,,,,,,,,
1,0,Armament of Nyx,Journey into Nyx,4,Near Mint,English,,,,,,,,
2,0,Artful Maneuver,Dragons of Tarkir,4,Near Mint,English,,,,,,,,
1,0,Artificer's Epiphany,Duel Decks: Elves vs. Inventors,36,Near Mint,English,,,,,,,,
1,0,Artificer's Epiphany,Magic Origins,45,Near Mint,English,,,,,,,,
1,0,Artisan of Kozilek,Duel Decks: Zendikar vs. Eldrazi,42,Near Mint,English,,,,,,,,
1,0,Aspiring Aeronaut,Magic Origins,46,Near Mint,English,,,,,,,,
1,0,Asylum Visitor,Shadows over Innistrad,99,Near Mint,English,,,,,,,,
1,0,Atarka Pummeler,Dragons of Tarkir,129,Near Mint,English,,,,,,,,
1,0,Auramancer,Magic Origins,5,Near Mint,English,,,,,,,,
1,0,Autumnal Gloom,Shadows over Innistrad,194,Near Mint,English,,,,,,,,
1,0,Avacyn's Judgment,Shadows over Innistrad,145,Near Mint,English,,,,,,,,
1,0,Avacynian Missionaries,Shadows over Innistrad,6,Near Mint,English,,,,,,,,
1,0,Aven Skirmisher,Fate Reforged,6,Near Mint,English,,,,,,,,
1,0,Aven Surveyor,Fate Reforged,31,Near Mint,English,,,,,,,,
1,0,Avenger of Zendikar,Duel Decks: Zendikar vs. Eldrazi,1,Near Mint,English,,,,,,,,
